2009-11-05 01:21:26 Debug: Notice (8): Undefined index: out_of_stock in [APP\views\elements\product_view.ctp, line 46]
2009-11-05 01:41:06 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:06 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:08 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:20 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:22 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:42 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:44 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:44 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:45 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:41:46 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:13 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:14 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:28 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:28 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:54 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 01:42:55 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 02:05:38 Debug: Notice (8): Undefined index: discount in [APP\controllers\cart_controller.php, line 158]
2009-11-05 02:05:38 Debug: Notice (8): Undefined index: discount in [APP\controllers\cart_controller.php, line 160]
2009-11-05 02:05:38 Debug: Notice (8): Undefined index: discount in [APP\controllers\cart_controller.php, line 161]
2009-11-05 02:10:03 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:10:11 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:12:22 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:13:26 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:13:30 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:13:37 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:13:40 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:26:28 Debug: Notice (8): Undefined variable: dojo in [APP\views\elements\product_view.ctp, line 32]
2009-11-05 02:26:58 Debug: Notice (8): Undefined variable: form in [APP\views\elements\sidebar\newsletter.ctp, line 33]
2009-11-05 02:55:03 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2009-11-05 02:55:51 Debug: Notice (8): Undefined index: discount in [APP\views\cart\index.ctp, line 104]
2010-01-24 06:13:09 Debug: Notice (8): Undefined offset: 0 in [APP\views\default\index.ctp, line 30]
2010-01-24 06:13:09 Debug: Notice (8): Undefined offset: 0 in [APP\views\default\index.ctp, line 32]
2010-01-24 06:21:18 Debug: Notice (8): Undefined variable: queryPlan in [APP\plugins\debug_kit\controllers\components\toolbar.php, line 631]
2010-01-24 06:21:20 Debug: Notice (8): Undefined variable: queryPlan in [APP\plugins\debug_kit\controllers\components\toolbar.php, line 631]
2010-01-24 06:22:02 Debug: Notice (8): Undefined variable: queryPlan in [APP\plugins\debug_kit\controllers\components\toolbar.php, line 631]
2010-01-24 06:22:04 Debug: Notice (8): Undefined variable: queryPlan in [APP\plugins\debug_kit\controllers\components\toolbar.php, line 631]
